Model;Scenario;Region;Variable;Unit;2010
NTNU_LCA;Baseline;World;Freshwater eutrophication|Storage, Battery (Li-ion)|Operation;kg P-Eq/GWh;3.35E-01
NTNU_LCA;Baseline;World;Human toxicity|Storage, Battery (Li-ion)|Operation;kg 1,4-DCB-Eq/GWh;7.19E+03
NTNU_LCA;Baseline;World;Ionising radiation|Storage, Battery (Li-ion)|Operation;kg U235-Eq/GWh;1.55E+02
NTNU_LCA;Baseline;World;Land occupation|Storage, Battery (Li-ion)|Operation;m2a/GWh;1.79E+02
NTNU_LCA;Baseline;World;Marine eutrophication|Storage, Battery (Li-ion)|Operation;kg N-Eq/GWh;1.07E+00
NTNU_LCA;Baseline;World;Metal depletion|Storage, Battery (Li-ion)|Operation;kg Fe-eq/GWh;6.10E+01
NTNU_LCA;Baseline;World;Terrestrial ecotoxicity|Storage, Battery (Li-ion)|Operation;kg 1,4-DCB-Eq/GWh;7.23E+00
NTNU_LCA;Baseline;World;GHG|Grid, HVDC|Construction;kg CO2-Eq/GWkm;9.13E+03
NTNU_LCA;Baseline;World;Freshwater ecotoxicity|Grid, HVDC|Construction;kg 1,4-DCB-Eq/GWkm;9.27E+02
NTNU_LCA;Baseline;World;Freshwater eutrophication|Grid, HVDC|Construction;kg P-Eq/GWkm;2.46E+01
NTNU_LCA;Baseline;World;Human toxicity|Grid, HVDC|Construction;kg 1,4-DCB-Eq/GWkm;4.63E+04
NTNU_LCA;Baseline;World;Ionising radiation|Grid, HVDC|Construction;kg U235-Eq/GWkm;2.01E+00
NTNU_LCA;Baseline;World;Land occupation|Grid, HVDC|Operation;m2a/GWkm;2.24E+04
NTNU_LCA;Baseline;World;Marine eutrophication|Grid, HVDC|Construction;kg N-Eq/GWkm;3.74E+00
NTNU_LCA;Baseline;World;Metal depletion|Grid, HVDC|Construction;kg Fe-eq/GWkm;2.08E+04
NTNU_LCA;Baseline;World;Terrestrial ecotoxicity|Grid, HVDC|Construction;kg 1,4-DCB-Eq/GWkm;2.88E+00
NTNU_LCA;Baseline;World;Land occupation|Grid, HVDC|Operation;m2a/GWkm;2.24E+04
