crop,spi
-0.5783852,1.121212
-0.5783852,1.181818
-0.5783852,1.242424
-0.5783852,1.30303
-0.5783852,1.363636
-0.5783852,1.424242
-0.5783852,1.484848
-0.5783852,1.545455
-0.5783852,1.606061
-0.5783852,1.666667
-0.5783852,1.727273
-0.5783852,1.787879
-0.5783852,1.848485
-0.5783852,1.909091
-0.5783852,1.969697
-0.5783852,2.030303
-0.5783852,2.090909
-0.5783852,2.151515
-0.5783852,2.212121
-0.5783852,2.272727
-0.5783852,2.333333
-0.5783852,2.393939
-0.5783852,2.454545
-0.5783852,2.515152
-0.5783852,2.575758
-0.5783852,2.636364
-0.5783852,2.69697
-0.5783852,2.757576
-0.5783852,2.818182
-0.5783852,2.878788
-0.5783852,2.939394
-0.5783852,3
-0.578385161,-3
-0.578385161,-2.939393939
-0.578385161,-2.878787879
-0.578385161,-2.818181818
-0.578385161,-2.757575758
-0.578385161,-2.696969697
-0.578385161,-2.636363636
-0.578385161,-2.575757576
-0.578385161,-2.515151515
-0.578385161,-2.454545455
-0.548842849,-3
-0.548842849,-2.939393939
-0.548842849,-2.878787879
-0.548842849,-2.818181818
-0.548842849,-2.757575758
-0.548842849,-2.696969697
-0.548842849,-2.636363636
-0.548842849,-2.575757576
-0.548842849,-2.515151515
-0.548842849,-2.454545455
-0.5488428,-2.393939
-0.5488428,-2.333333
-0.5488428,-2.272727
-0.5488428,-2.212121
-0.5488428,-2.151515
-0.5488428,-2.090909
-0.5488428,-2.030303
-0.5488428,-1.969697
-0.5488428,-1.909091
-0.5488428,-1.848485
-0.5488428,-1.787879
-0.5488428,-1.727273
-0.5488428,-1.666667
-0.5488428,-1.606061
-0.5488428,-1.545455
-0.5488428,-1.484848
-0.5488428,-1.424242
-0.5488428,-1.363636
-0.5488428,-1.30303
-0.5488428,-1.242424
-0.5488428,-1.181818
-0.5488428,-1.121212
-0.5488428,-1.060606
-0.5488428,-1
-0.5488428,-0.9393939
-0.5488428,-0.8787879
-0.5488428,-0.8181818
-0.5488428,-0.7575758
-0.5488428,-0.6969697
-0.5488428,-0.6363636
-0.5488428,-0.5757576
-0.5488428,-0.5151515
-0.5488428,-0.4545455
-0.5488428,-0.3939394
-0.5488428,-0.3333333
-0.5488428,-0.2727273
-0.5488428,-0.2121212
-0.5488428,-0.1515152
-0.5488428,-0.09090909
-0.5488428,-0.03030303
-0.5488428,0.03030303
-0.5488428,0.09090909
-0.5488428,0.1515152
-0.5488428,0.2121212
-0.5488428,0.2727273
-0.5488428,0.3333333
-0.5488428,0.3939394
-0.5488428,0.4545455
-0.5488428,0.5151515
-0.5488428,0.5757576
-0.5488428,0.6363636
-0.5488428,0.6969697
-0.5488428,0.7575758
-0.5488428,0.8181818
-0.5488428,0.8787879
-0.5488428,0.9393939
-0.5488428,1
-0.5488428,1.060606
-0.5488428,1.121212
-0.5488428,1.181818
-0.5488428,1.242424
-0.5488428,1.30303
-0.5488428,1.363636
-0.5488428,1.424242
-0.5488428,1.484848
-0.5488428,1.545455
-0.5488428,1.606061
-0.5488428,1.666667
-0.5488428,1.727273
-0.5488428,1.787879
-0.5488428,1.848485
-0.5488428,1.909091
-0.5488428,1.969697
-0.5488428,2.030303
-0.5488428,2.090909
-0.5488428,2.151515
-0.5488428,2.212121
-0.5488428,2.272727
-0.5488428,2.333333
-0.5488428,2.393939
-0.5488428,2.454545
-0.5488428,2.515152
-0.5488428,2.575758
-0.5488428,2.636364
-0.5488428,2.69697
-0.5488428,2.757576
-0.5488428,2.818182
-0.5488428,2.878788
-0.5488428,2.939394
-0.5488428,3
-0.522387624,-3
-0.522387624,-2.939393939
-0.522387624,-2.878787879
-0.522387624,-2.818181818
-0.522387624,-2.757575758
-0.522387624,-2.696969697
-0.522387624,-2.636363636
-0.522387624,-2.575757576
-0.522387624,-2.515151515
-0.522387624,-2.454545455
-0.5223876,-2.393939
-0.5223876,-2.333333
-0.5223876,-2.272727
-0.5223876,-2.212121
-0.5223876,-2.151515
-0.5223876,-2.090909
-0.5223876,-2.030303
-0.5223876,-1.969697
-0.5223876,-1.909091
-0.5223876,-1.848485
-0.5223876,-1.787879
-0.5223876,-1.727273
-0.5223876,-1.666667
-0.5223876,-1.606061
-0.5223876,-1.545455
-0.5223876,-1.484848
-0.5223876,-1.424242
-0.5223876,-1.363636
-0.5223876,-1.30303
-0.5223876,-1.242424
-0.5223876,-1.181818
-0.5223876,-1.121212
-0.5223876,-1.060606
-0.5223876,-1
-0.5223876,-0.9393939
-0.5223876,-0.8787879
-0.5223876,-0.8181818
-0.5223876,-0.7575758
-0.5223876,-0.6969697
-0.5223876,-0.6363636
-0.5223876,-0.5757576
-0.5223876,-0.5151515
-0.5223876,-0.4545455
-0.5223876,-0.3939394
-0.5223876,-0.3333333
-0.5223876,-0.2727273
-0.5223876,-0.2121212
-0.5223876,-0.1515152
-0.5223876,-0.09090909
-0.5223876,-0.03030303
-0.5223876,0.03030303
-0.5223876,0.09090909
-0.5223876,0.1515152
-0.5223876,0.2121212
-0.5223876,0.2727273
-0.5223876,0.3333333
-0.5223876,0.3939394
-0.5223876,0.4545455
-0.5223876,0.5151515
-0.5223876,0.5757576
-0.5223876,0.6363636
-0.5223876,0.6969697
-0.5223876,0.7575758
-0.5223876,0.8181818
-0.5223876,0.8787879
-0.5223876,0.9393939
-0.5223876,1
-0.5223876,1.060606
-0.5223876,1.121212
-0.5223876,1.181818
-0.5223876,1.242424
-0.5223876,1.30303
-0.5223876,1.363636
-0.5223876,1.424242
-0.5223876,1.484848
-0.5223876,1.545455
-0.5223876,1.606061
-0.5223876,1.666667
-0.5223876,1.727273
-0.5223876,1.787879
-0.5223876,1.848485
-0.5223876,1.909091
-0.5223876,1.969697
-0.5223876,2.030303
-0.5223876,2.090909
-0.5223876,2.151515
-0.5223876,2.212121
-0.5223876,2.272727
-0.5223876,2.333333
-0.5223876,2.393939
-0.5223876,2.454545
-0.5223876,2.515152
-0.5223876,2.575758
-0.5223876,2.636364
-0.5223876,2.69697
-0.5223876,2.757576
-0.5223876,2.818182
-0.5223876,2.878788
-0.5223876,2.939394
-0.5223876,3
-0.4983245,-2.393939
-0.4983245,-2.333333
-0.4983245,-2.272727
-0.4983245,-2.212121
-0.4983245,-2.151515
-0.4983245,-2.090909
-0.4983245,-2.030303
-0.4983245,-1.969697
-0.4983245,-1.909091
-0.4983245,-1.848485
-0.4983245,-1.787879
-0.4983245,-1.727273
-0.4983245,-1.666667
-0.4983245,-1.606061
-0.4983245,-1.545455
-0.4983245,-1.484848
-0.4983245,-1.424242
-0.4983245,-1.363636
-0.4983245,-1.30303
-0.4983245,-1.242424
-0.4983245,-1.181818
-0.4983245,-1.121212
-0.4983245,-1.060606
-0.4983245,-1
-0.4983245,-0.9393939
-0.4983245,-0.8787879
-0.4983245,-0.8181818
-0.4983245,-0.7575758
-0.4983245,-0.6969697
-0.4983245,-0.6363636
-0.4983245,-0.5757576
-0.4983245,-0.5151515
-0.4983245,-0.4545455
-0.4983245,-0.3939394
-0.4983245,-0.3333333
-0.4983245,-0.2727273
-0.4983245,-0.2121212
-0.4983245,-0.1515152
-0.4983245,-0.09090909
-0.4983245,-0.03030303
-0.4983245,0.03030303
-0.4983245,0.09090909
-0.4983245,0.1515152
-0.4983245,0.2121212
-0.4983245,0.2727273
-0.4983245,0.3333333
-0.4983245,0.3939394
-0.4983245,0.4545455
-0.4983245,0.5151515
-0.4983245,0.5757576
-0.4983245,0.6363636
-0.4983245,0.6969697
-0.4983245,0.7575758
-0.4983245,0.8181818
-0.4983245,0.8787879
-0.4983245,0.9393939
-0.4983245,1
-0.4983245,1.060606
-0.4983245,1.121212
-0.4983245,1.181818
-0.4983245,1.242424
-0.4983245,1.30303
-0.4983245,1.363636
-0.4983245,1.424242
-0.4983245,1.484848
-0.4983245,1.545455
-0.4983245,1.606061
-0.4983245,1.666667
-0.4983245,1.727273
-0.4983245,1.787879
-0.4983245,1.848485
-0.4983245,1.909091
-0.4983245,1.969697
-0.4983245,2.030303
-0.4983245,2.090909
-0.4983245,2.151515
-0.4983245,2.212121
-0.4983245,2.272727
-0.4983245,2.333333
-0.4983245,2.393939
-0.4983245,2.454545
-0.4983245,2.515152
-0.4983245,2.575758
-0.4983245,2.636364
-0.4983245,2.69697
-0.4983245,2.757576
-0.4983245,2.818182
-0.4983245,2.878788
-0.4983245,2.939394
-0.4983245,3
-0.498324456,-3
-0.498324456,-2.939393939
-0.498324456,-2.878787879
-0.498324456,-2.818181818
-0.498324456,-2.757575758
-0.498324456,-2.696969697
-0.498324456,-2.636363636
-0.498324456,-2.575757576
-0.498324456,-2.515151515
-0.498324456,-2.454545455
-0.4761714,-2.393939
-0.4761714,-2.333333
-0.4761714,-2.272727
-0.4761714,-2.212121
-0.4761714,-2.151515
-0.4761714,-2.090909
-0.4761714,-2.030303
-0.4761714,-1.969697
-0.4761714,-1.909091
-0.4761714,-1.848485
-0.4761714,-1.787879
-0.4761714,-1.727273
-0.4761714,-1.666667
-0.4761714,-1.606061
-0.4761714,-1.545455
-0.4761714,-1.484848
-0.4761714,-1.424242
-0.4761714,-1.363636
-0.4761714,-1.30303
-0.4761714,-1.242424
-0.4761714,-1.181818
-0.4761714,-1.121212
-0.4761714,-1.060606
-0.4761714,-1
-0.4761714,-0.9393939
-0.4761714,-0.8787879
-0.4761714,-0.8181818
-0.4761714,-0.7575758
-0.4761714,-0.6969697
-0.4761714,-0.6363636
-0.4761714,-0.5757576
-0.4761714,-0.5151515
-0.4761714,-0.4545455
-0.4761714,-0.3939394
-0.4761714,-0.3333333
-0.4761714,-0.2727273
-0.4761714,-0.2121212
-0.4761714,-0.1515152
-0.4761714,-0.09090909
-0.4761714,-0.03030303
-0.4761714,0.03030303
-0.4761714,0.09090909
-0.4761714,0.1515152
-0.4761714,0.2121212
-0.4761714,0.2727273
-0.4761714,0.3333333
-0.4761714,0.3939394
-0.4761714,0.4545455
-0.4761714,0.5151515
-0.4761714,0.5757576
-0.4761714,0.6363636
-0.4761714,0.6969697
-0.4761714,0.7575758
-0.4761714,0.8181818
-0.4761714,0.8787879
-0.4761714,0.9393939
-0.4761714,1
-0.4761714,1.060606
-0.4761714,1.121212
-0.4761714,1.181818
-0.4761714,1.242424
-0.4761714,1.30303
-0.4761714,1.363636
-0.4761714,1.424242
-0.4761714,1.484848
-0.4761714,1.545455
-0.4761714,1.606061
-0.4761714,1.666667
-0.4761714,1.727273
-0.4761714,1.787879
-0.4761714,1.848485
-0.4761714,1.909091
-0.4761714,1.969697
-0.4761714,2.030303
-0.4761714,2.090909
-0.4761714,2.151515
-0.4761714,2.212121
-0.4761714,2.272727
-0.4761714,2.333333
-0.4761714,2.393939
-0.4761714,2.454545
-0.4761714,2.515152
-0.4761714,2.575758
-0.4761714,2.636364
-0.4761714,2.69697
-0.4761714,2.757576
-0.4761714,2.818182
-0.4761714,2.878788
-0.4761714,2.939394
-0.4761714,3
-0.476171379,-3
-0.476171379,-2.939393939
-0.476171379,-2.878787879
-0.476171379,-2.818181818
-0.476171379,-2.757575758
-0.476171379,-2.696969697
-0.476171379,-2.636363636
-0.476171379,-2.575757576
-0.476171379,-2.515151515
-0.476171379,-2.454545455
-0.455579748,-3
-0.455579748,-2.939393939
-0.455579748,-2.878787879
-0.455579748,-2.818181818
-0.455579748,-2.757575758
-0.455579748,-2.696969697
-0.455579748,-2.636363636
-0.455579748,-2.575757576
-0.455579748,-2.515151515
-0.455579748,-2.454545455
-0.4555797,-2.393939
-0.4555797,-2.333333
-0.4555797,-2.272727
-0.4555797,-2.212121
-0.4555797,-2.151515
-0.4555797,-2.090909
-0.4555797,-2.030303
-0.4555797,-1.969697
-0.4555797,-1.909091
-0.4555797,-1.848485
-0.4555797,-1.787879
-0.4555797,-1.727273
-0.4555797,-1.666667
-0.4555797,-1.606061
-0.4555797,-1.545455
-0.4555797,-1.484848
-0.4555797,-1.424242
-0.4555797,-1.363636
-0.4555797,-1.30303
-0.4555797,-1.242424
-0.4555797,-1.181818
-0.4555797,-1.121212
-0.4555797,-1.060606
-0.4555797,-1
-0.4555797,-0.9393939
-0.4555797,-0.8787879
-0.4555797,-0.8181818
-0.4555797,-0.7575758
-0.4555797,-0.6969697
-0.4555797,-0.6363636
-0.4555797,-0.5757576
-0.4555797,-0.5151515
-0.4555797,-0.4545455
-0.4555797,-0.3939394
-0.4555797,-0.3333333
-0.4555797,-0.2727273
-0.4555797,-0.2121212
-0.4555797,-0.1515152
-0.4555797,-0.09090909
-0.4555797,-0.03030303
-0.4555797,0.03030303
-0.4555797,0.09090909
-0.4555797,0.1515152
-0.4555797,0.2121212
-0.4555797,0.2727273
-0.4555797,0.3333333
-0.4555797,0.3939394
-0.4555797,0.4545455
-0.4555797,0.5151515
-0.4555797,0.5757576
-0.4555797,0.6363636
-0.4555797,0.6969697
-0.4555797,0.7575758
-0.4555797,0.8181818
-0.4555797,0.8787879
-0.4555797,0.9393939
-0.4555797,1
-0.4555797,1.060606
-0.4555797,1.121212
-0.4555797,1.181818
-0.4555797,1.242424
-0.4555797,1.30303
-0.4555797,1.363636
-0.4555797,1.424242
-0.4555797,1.484848
-0.4555797,1.545455
-0.4555797,1.606061
-0.4555797,1.666667
-0.4555797,1.727273
-0.4555797,1.787879
-0.4555797,1.848485
-0.4555797,1.909091
-0.4555797,1.969697
-0.4555797,2.030303
-0.4555797,2.090909
-0.4555797,2.151515
-0.4555797,2.212121
-0.4555797,2.272727
-0.4555797,2.333333
-0.4555797,2.393939
-0.4555797,2.454545
